Iteration,Fitness,Paths
0,-4,0
1,-5,0
2,-6,0
3,-5,0
4,-4,0
6,-4,0
8,-4,0
9,-3,0
12,-4,0
13,-3,0
14,-2,0
15,0,0
16,7.54127,5
17,7.86696,5
18,8.87462,6
28,8.6524,6
29,8.6517,6
34,8.72027,6
38,8.95419,6
44,8.63613,6
48,8.09993,6
49,9.49866,6
58,9.51142,6
62,9.17237,6
66,8.64709,6
68,8.457,6
76,8.64709,6
78,9.24709,6
82,8.61376,6
84,8.94709,6
89,8.74296,6
99,8.56203,6
100,7.31939,5
103,8.70416,6
106,8.07083,6
116,7.02244,5
117,8.18911,6
118,7.37361,6
119,8.04041,6
123,6.73144,5
124,7.359,6
125,7.63565,6
132,7.96898,6
134,8.46673,6
137,9.13789,6
138,9.24421,6
147,9.45,6
148,9.45,6
151,9.25072,6
155,9.12857,6
157,8.85079,6
158,8.12404,6
162,8.88945,6
164,8.97778,6
167,8.47778,6
168,8.72614,6
170,8.71926,6
172,8.02172,6
177,7.36657,6
178,8.20899,6
180,9.009,6
184,8.81159,6
185,8.80993,6
191,9.12646,6
197,9.29262,6
211,8.72222,6
222,9.56238,6
238,8.52964,6
239,8.60483,6
249,8.3653,6
251,8.22794,6
254,8.77149,6
255,9.20899,6
270,8.07457,6
273,9.20899,6
282,8.97062,6
286,9.30918,6
290,8.98546,6
292,9.30927,6
293,8.60201,6
319,8.30613,6
320,9.23563,6
322,9.00546,6
324,8.57689,6
325,8.51268,6
329,8.99355,6
331,9.06421,6
338,9.25274,6
340,8.94787,6
341,9.2812,6
345,8.96967,6
351,9.04032,6
360,9.00553,6
362,9.56109,6
369,9.57742,6
372,9.46539,6
376,9.83812,6
380,9.46539,6
383,9.48103,6
395,9.59815,6
396,9.91565,6
398,9.91565,6
406,9.85365,6
424,9.32951,6
432,9.39151,6
443,9.32951,6
445,9.32824,6
446,9.39151,6
478,9.72484,6
482,9.72484,6
487,9.56415,6
488,9.56415,6
490,9.62171,6
502,9.62211,6
511,9.76091,6
532,9.62211,6
536,9.62171,6
541,9.56415,6
548,9.16984,6
553,8.83295,6
557,8.88932,6
559,8.88932,6
566,8.84563,6
578,9.33658,6
593,9.78244,6
597,9.68099,6
599,9.68099,6
608,10.3477,6
609,10.3281,6
611,10.3468,6
613,10.3468,6
624,10.3468,6
629,10.3281,6
631,10.7091,6
719,10.7091,6
741,10.6997,6
746,10.7091,6
756,10.735,6
760,10.735,6
807,10.735,6
826,10.735,6
846,10.735,6
918,10.735,6
933,10.735,6
947,10.735,6
977,10.7091,6
982,10.6997,6
