Iteration,Fitness,Paths
0,-3,0
1,-3,0
3,-3,0
4,-4,0
5,-3,0
6,-2,0
7,-2,0
8,-1,0
9,9.23479,6
10,9.27351,6
12,8.52886,6
14,8.51434,6
17,8.54363,6
21,8.38432,6
25,8.58372,6
26,8.81149,6
27,8.81149,6
28,8.34275,6
34,8.44089,6
36,8.65545,6
38,8.97455,6
45,9.28251,6
46,8.47401,6
48,8.5122,6
49,8.21878,6
50,8.32417,6
53,8.63881,6
56,8.884,6
60,8.20286,6
66,8.884,6
68,9.45288,6
71,8.30005,6
74,8.02912,6
75,8.68297,6
78,8.02912,6
80,6.37734,5
81,7.56973,5
83,7.41273,5
90,7.56973,5
91,7.4329,5
94,9.43016,6
95,9.19683,6
102,8.89858,6
103,8.1326,6
104,8.24451,6
105,8.1326,6
106,8.06594,6
107,8.9804,6
110,8.30809,6
122,8.64861,6
123,8.41528,6
124,7.85997,6
126,8.49957,6
127,8.16349,6
130,9.25787,6
134,7.03974,5
135,7.62883,5
138,6.8013,5
142,6.67631,5
143,7.64757,5
145,8.64096,6
151,8.29253,6
153,7.01838,5
157,7.13357,5
159,8.86301,6
161,8.93928,6
163,8.89412,6
166,9.30507,6
167,8.61925,6
168,8.85899,6
177,8.32824,5
179,8.34,5
180,9.83836,6
184,9.1777,6
187,8.8315,6
189,8.42087,6
190,7.50422,5
191,8.78417,6
192,8.73764,6
193,8.36586,6
195,8.48491,6
196,8.47989,6
197,9.00953,6
203,9.33237,6
210,8.74697,6
214,8.74697,6
219,8.74697,6
224,8.24697,6
225,8.13585,6
227,8.25501,6
230,8.53834,6
232,8.47746,6
234,8.48582,6
239,8.14365,6
240,8.17086,6
244,8.37909,6
247,8.55121,6
248,8.6302,6
253,8.35242,6
256,7.75649,6
258,8.65242,6
263,8.92292,6
264,8.99434,6
267,8.98258,6
271,8.99546,6
274,8.92403,6
276,8.58831,6
277,8.92403,6
278,9.1963,6
282,8.55304,6
288,8.66667,6
291,8.45639,6
293,9.01977,6
294,8.81176,6
295,8.7748,6
297,8.67843,6
299,8.67704,6
300,8.53704,6
304,9.42271,6
308,9.42271,6
310,9.47827,6
311,8.79921,6
312,10.2381,6
314,10.4473,6
316,9.78063,6
321,9.74537,6
327,9.62004,6
328,9.82005,6
330,9.3887,6
333,9.8926,6
335,9.80222,6
346,9.70865,6
347,9.95411,6
350,10.0092,6
352,9.79491,6
357,8.98571,6
358,8.88182,6
364,8.71515,6
367,9.3904,6
371,9.63333,6
375,10.3,6
376,10.4103,6
391,10.375,6
401,10.2119,6
404,10.1643,6
406,9.46939,6
408,9.43457,6
409,9.32499,6
414,8.775,6
419,8.75473,6
423,8.80235,6
424,9.17502,6
435,9.23011,6
440,9.92502,6
480,9.92502,6
483,10.0881,6
492,9.94885,6
494,10.0881,6
499,9.90681,6
503,9.95175,6
507,10.6285,6
513,10.6285,6
535,10.6638,6
563,10.5591,6
572,10.4365,6
579,10.5591,6
584,10.6285,6
607,10.6285,6
623,10.6285,6
633,10.5819,6
634,10.5819,6
643,10.5819,6
648,10.6285,6
653,10.6638,6
666,10.6638,6
682,10.6638,6
688,10.6638,6
705,10.6638,6
715,10.6789,6
724,10.6172,6
731,10.6172,6
733,10.6172,6
734,10.5819,6
789,10.6172,6
823,10.6638,6
848,10.6638,6
870,10.6638,6
874,10.6638,6
958,10.6638,6
981,10.6638,6
983,10.6638,6
